sentence,label,,,,,,,,,,,,
海に船を浮かべてそこのマストの上から物を落として説明したとか夜空を見ると無限に思考が広がる所が,45,,,,,,,,,,,,
父は好きだったのではないかなーなんて,46,,,,,,,,,,,,
ぼんやり見てます。,1,,,,,,,,,,,,
蚊取り線香の香り好きです。,2,,,,,,,,,,,,
日本の夏という風情があり,3,,,,,,,,,,,,
私好きです。,4,,,,,,,,,,,,
しかし今年の夏は,5,,,,,,,,,,,,
蚊が少ない？,6,,,,,,,,,,,,
それとも蚊取り線香の効果？,7,,,,,,,,,,,,
寝る前に,8,,,,,,,,,,,,
トークタイムでした,9,,,,,,,,,,,,
その前に,10,,,,,,,,,,,,
急な来客もありバタバタと、、私はこれからお勉強です,11,,,,,,,,,,,,
上がりましたー,12,,,,,,,,,,,,
お疲れ！,13,,,,,,,,,,,,
今日のやる事おわりー,14,,,,,,,,,,,,
仲良ししとります,15,,,,,,,,,,,,
やはり一日の長がありますね笑笑。,16,,,,,,,,,,,,
鰻全て食べたのに、、まだ食べる？,17,,,,,,,,,,,,
おいおい美味しいらしいっす笑笑,18,,,,,,,,,,,,
食欲おかしいよ、寝かかっているわけではありません笑笑,19,,,,,,,,,,,,
どうしてもここに来たいと,20,,,,,,,,,,,,
なり移動です。,21,,,,,,,,,,,,
今日は比較的 芸術の秋風な夏で御座います。,22,,,,,,,,,,,,
アラジンのお話に花が咲いてます,23,,,,,,,,,,,,
お！,24,,,,,,,,,,,,
きたきた！,25,,,,,,,,,,,,
本日は鰻です。,26,,,,,,,,,,,,
ここの鰻食べると私 すごく元気になるんです,27,,,,,,,,,,,,
さ！晩御飯いこか？,28,,,,,,,,,,,,
銀座の空なんか美しく感じます。,29,,,,,,,,,,,,
ちょっと,30,,,,,,,,,,,,
おもちゃ屋さんへ,31,,,,,,,,,,,,
2人とも大興奮でした！,32,,,,,,,,,,,,
ライオンキングとアラジン,33,,,,,,,,,,,,
２つの作品みて,34,,,,,,,,,,,,
幸せでした,35,,,,,,,,,,,,
ガリガリ君をパパダッシュにて,36,,,,,,,,,,,,
息抜きへ,37,,,,,,,,,,,,
はーい‍♂️,38,,,,,,,,,,,,
いこいこ,39,,,,,,,,,,,,
お稽古の後は,40,,,,,,,,,,,,
舞台鑑賞へ,41,,,,,,,,,,,,
二人が,42,,,,,,,,,,,,
今日はどんな感想になるのかな？,43,,,,,,,,,,,,
楽しみです,44,,,,,,,,,,,,
お疲れ様でした,45,,,,,,,,,,,,
見てます。,46,,,,,,,,,,,,
というか大向こう役していますね笑笑麗禾は禿を一年かけてお稽古です。,1,,,,,,,,,,,,
二人とも一年かけて物作りに,2,,,,,,,,,,,,
入りました。,3,,,,,,,,,,,,
見守る親金八先生だったかな？,4,,,,,,,,,,,,
親という時は,5,,,,,,,,,,,,
木の上に立って見る,6,,,,,,,,,,,,
と書いて  親と書くと日本語の深さ楽しさ愛を感じたりも致します。,7,,,,,,,,,,,,
玉兎のお稽古です。,8,,,,,,,,,,,,
この時期の踊りの稽古は,9,,,,,,,,,,,,
覚えるのに約一年くらいかけて,10,,,,,,,,,,,,
丁寧にやるものなのでゆっくりと,11,,,,,,,,,,,,
ゆっくりと,12,,,,,,,,,,,,
ゆっくりと,13,,,,,,,,,,,,
ゆっくりと,14,,,,,,,,,,,,
大切に,15,,,,,,,,,,,,
見守りたいと思います。,16,,,,,,,,,,,,
お水あげ,17,,,,,,,,,,,,
ツイツイ忘れてしまいます。,18,,,,,,,,,,,,
さ！,19,,,,,,,,,,,,
お水あげたら,20,,,,,,,,,,,,
お稽古再開。,21,,,,,,,,,,,,
お扇子を頭の上に乗せて,22,,,,,,,,,,,,
バランスを整えることから,23,,,,,,,,,,,,
今日は始まります,24,,,,,,,,,,,,
おはよ,25,,,,,,,,,,,,
わたしはジュース,26,,,,,,,,,,,,
さ！,27,,,,,,,,,,,,
朝ごはん食べよか,28,,,,,,,,,,,,
さ！,29,,,,,,,,,,,,
今日もやりますか！？,30,,,,,,,,,,,,
コツコツ,31,,,,,,,,,,,,
トレーナーさんと頑張ります,32,,,,,,,,,,,,
召し上がれ,33,,,,,,,,,,,,
今日も沢山食べようね,34,,,,,,,,,,,,
朝の散歩と運動は大切な事の様に感じます。,35,,,,,,,,,,,,
そして気持ちいいし,36,,,,,,,,,,,,
いい天気。,37,,,,,,,,,,,,
今日から朝は少し走ろうかなとそんな風に,38,,,,,,,,,,,,
思い立ったら吉日ですね,39,,,,,,,,,,,,
まだ眠い朝です,40,,,,,,,,,,,,
酵素風呂やはり凄い。,41,,,,,,,,,,,,
眠りが深い,42,,,,,,,,,,,,
よく寝れた上に目覚める何分前から,43,,,,,,,,,,,,
わかりませんがハッキリ夢も見れました,44,,,,,,,,,,,,
楽しい夢だったなー,45,,,,,,,,,,,,
ワクワクするような,46,,,,,,,,,,,,
たまに夢って,1,,,,,,,,,,,,
続きが見たくなりますよね。,2,,,,,,,,,,,,
今日も多くの方々が幸せで,3,,,,,,,,,,,,
愛を感じる,4,,,,,,,,,,,,
ステキな一日でありますように銀メダル,5,,,,,,,,,,,,
お二方は本日二本目という中でもシッカリ銀メダル,6,,,,,,,,,,,,
凄い。,7,,,,,,,,,,,,
やはり日本の女性は強い。,8,,,,,,,,,,,,
そして美しい。,9,,,,,,,,,,,,
楽しみですね,10,,,,,,,,,,,,
中国強いらしいです。,11,,,,,,,,,,,,
頑張れー,12,,,,,,,,,,,,
日本,13,,,,,,,,,,,,
温まってボッーと歩いていたら,14,,,,,,,,,,,,
バスが横に止まって,15,,,,,,,,,,,,
座ってる綺麗な感じの女性が,16,,,,,,,,,,,,
スマホ片手に微笑んでる。,17,,,,,,,,,,,,
へー,18,,,,,,,,,,,,
何見てるのかな？と近づき見たら私のブログでした、笑笑となりにいるよ,19,,,,,,,,,,,,
フト嬉しい瞬間でした,20,,,,,,,,,,,,
今日友達がディズニーランドで遊んでます。,21,,,,,,,,,,,,
待ち時間に私のブログ見るのが,22,,,,,,,,,,,,
丁度よい暇つぶしになるそうです、笑笑。,23,,,,,,,,,,,,
それもまた嬉しい、トボトボ帰ってます,24,,,,,,,,,,,,
ポカポカ帰ってます,25,,,,,,,,,,,,
ちょっと散歩へ‍♀️,26,,,,,,,,,,,,
目的地へチンタラチンタラ歩いていこうかなとたまにはこういうのも良いかな,27,,,,,,,,,,,,
頑張りまーす,28,,,,,,,,,,,,
楽しいのありがとう,29,,,,,,,,,,,,
可愛い,30,,,,,,,,,,,,
いいね,31,,,,,,,,,,,,
遅くなってごめーん。,32,,,,,,,,,,,,
ご飯にしようね,33,,,,,,,,,,,,
大阪桐蔭。,34,,,,,,,,,,,,
優勝おめでとうございます。,35,,,,,,,,,,,,
強い！,36,,,,,,,,,,,,
層が厚い。,37,,,,,,,,,,,,
そして,38,,,,,,,,,,,,
秋田の金足感動をありがとう。,39,,,,,,,,,,,,
そして,40,,,,,,,,,,,,
イケメン多くて,41,,,,,,,,,,,,
ホッコリしました。,42,,,,,,,,,,,,
2回目の春夏連覇。,43,,,,,,,,,,,,
大阪桐蔭。,44,,,,,,,,,,,,
素晴らしい。,45,,,,,,,,,,,,
おめでとうございます。,46,,,,,,,,,,,,
わたし,1,,,,,,,,,,,,
決勝しか見てない,2,,,,,,,,,,,,
ど素人ですが感動しました。,3,,,,,,,,,,,,
ありがとう！！！,4,,,,,,,,,,,,
ギリギリまで見ていきたいと思っています。,5,,,,,,,,,,,,
なんか泣ける試合です秋田の金足のなにかに泣かされます。,6,,,,,,,,,,,,
そして,7,,,,,,,,,,,,
見事に立ちはだかる大阪桐蔭。,8,,,,,,,,,,,,
凄いものみてます。,9,,,,,,,,,,,,
そして,10,,,,,,,,,,,,
大阪桐蔭の根尾くん？,11,,,,,,,,,,,,
なんかもってますね。,12,,,,,,,,,,,,
そう感じます。,13,,,,,,,,,,,,
なんか泣けます伝令？,14,,,,,,,,,,,,
金足の16番の方が,15,,,,,,,,,,,,
マウンドへ行き,16,,,,,,,,,,,,
皆を笑顔に,17,,,,,,,,,,,,
なんか泣けたそして,18,,,,,,,,,,,,
白い歯の笑顔なんかたまらないですね顔がかっこいいですね。,19,,,,,,,,,,,,
そして,20,,,,,,,,,,,,
大阪桐蔭高校。,21,,,,,,,,,,,,
とても強いですね。,22,,,,,,,,,,,,
クリーンナップの選手達の面構えと,23,,,,,,,,,,,,
どこからでもホームラン打ってくる打線。,24,,,,,,,,,,,,
強い。,25,,,,,,,,,,,,
そして,26,,,,,,,,,,,,
暑さよりも熱い。,27,,,,,,,,,,,,
素敵です。,28,,,,,,,,,,,,
夏の甲子園。,29,,,,,,,,,,,,
この暑い中両校の選手,30,,,,,,,,,,,,
応援しています。,31,,,,,,,,,,,,
声変わり界王様も様々声優さんが変わりゆく中ドラえもんも,32,,,,,,,,,,,,
変わりましたし、悟空とクリリンは変わらない事が,33,,,,,,,,,,,,
どれだけ凄いことか、と感じます。,34,,,,,,,,,,,,
野沢雅子さんに田中真弓さん。,35,,,,,,,,,,,,
凄いっす。,36,,,,,,,,,,,,
倅のお陰で気がついたことそして,37,,,,,,,,,,,,
デザート,38,,,,,,,,,,,,
すこしリラックスします,39,,,,,,,,,,,,
暑いらしい、頭隠して尻隠さず。。,40,,,,,,,,,,,,
模範図ですね笑笑。,41,,,,,,,,,,,,
倅はセイロ娘は鴨汁蕎麦なかなか二人とも蕎麦のチョイス,42,,,,,,,,,,,,
わたし好みです,43,,,,,,,,,,,,
いただきます！,44,,,,,,,,,,,,
お蕎麦。,45,,,,,,,,,,,,
食べたーいとなりまして,46,,,,,,,,,,,,
何故か来てしまいました,1,,,,,,,,,,,,
時の流れを感じます。,2,,,,,,,,,,,,
 懐かしい、たくさんの思い出私には,3,,,,,,,,,,,,
まだ早いわたしにはこの家に来るのはまだ,4,,,,,,,,,,,,
早かったみたいです。,5,,,,,,,,,,,,
食後にどうしても行きたいと麗禾が言いまして向かいまする。,6,,,,,,,,,,,,
意外なところです,7,,,,,,,,,,,,
高菜のお粥。,8,,,,,,,,,,,,
これはうーん。,9,,,,,,,,,,,,
うーん美味だね,10,,,,,,,,,,,,
的な流れの写真になりました。,11,,,,,,,,,,,,
いこう,12,,,,,,,,,,,,
おはよ,13,,,,,,,,,,,,
おはよう,14,,,,,,,,,,,,
コツコツやることやる。,15,,,,,,,,,,,,
オス！！,16,,,,,,,,,,,,
今日も少し早起きね,17,,,,,,,,,,,,
後10日チョイで夏休み終わるから,18,,,,,,,,,,,,
リズム回復をぼちぼちしなくてはならないっすね。,19,,,,,,,,,,,,
子供たちは規制せずとも夏は各々のサマータイムを実行していますね笑笑。,20,,,,,,,,,,,,
ぼちぼち秋タイムへと,21,,,,,,,,,,,,
変換しなくてはそれはやっぱり親の役目と思います笑笑。,22,,,,,,,,,,,,
小躍りしとる,23,,,,,,,,,,,,
癒されます。,24,,,,,,,,,,,,
ユメも,25,,,,,,,,,,,,
笑笑。,26,,,,,,,,,,,,
可愛い,27,,,,,,,,,,,,
今日は麗禾に何回か起こされながら,28,,,,,,,,,,,,
寝て起きた朝です,29,,,,,,,,,,,,
笑笑。,30,,,,,,,,,,,,
うちの子たちは寝ても鼻をかむとか水を飲む時は,31,,,,,,,,,,,,
妙に律儀に立ち上がって少し断りをいれて,32,,,,,,,,,,,,
その行動するので,33,,,,,,,,,,,,
イコール起こされます笑笑。,34,,,,,,,,,,,,
おはようございます,35,,,,,,,,,,,,
さ！,36,,,,,,,,,,,,
今日もトレーナー朝からとそのあと打ち合わせあるのでぼちぼち起きまする,37,,,,,,,,,,,,
今日も多くの方々が幸せで,38,,,,,,,,,,,,
愛を感じる,39,,,,,,,,,,,,
素敵な一日でありますように,40,,,,,,,,,,,,
最近。,41,,,,,,,,,,,,
一人になる時間,42,,,,,,,,,,,,
大切な事だと,43,,,,,,,,,,,,
知りました。,44,,,,,,,,,,,,
賑やかなところ,45,,,,,,,,,,,,
楽しいところ,46,,,,,,,,,,,,
昔は大好きでしたが最近はそういうところよりも,1,,,,,,,,,,,,
一人で静かでいられる場所の方が,2,,,,,,,,,,,,
好きになって来たような、笑笑。,3,,,,,,,,,,,,
一人の時間って,4,,,,,,,,,,,,
現代に生きる人にとって,5,,,,,,,,,,,,
ある程度は必要なものなのだと感じます。,6,,,,,,,,,,,,
そして話が飛躍しますがなんとなく日本も世界も去年くらいから,7,,,,,,,,,,,,
2025年の頭あたりまで,8,,,,,,,,,,,,
もの凄い勢いで変化するように感じます。,9,,,,,,,,,,,,
物の価値観と思考の価値観 金銭のあり方までそんな事を感じる夜であります。,10,,,,,,,,,,,,
ごめん行かなくては行って欲しくない,11,,,,,,,,,,,,
と無言で表してますごめんなさい。,12,,,,,,,,,,,,
やらなくてはならない事があるときは,13,,,,,,,,,,,,
行かなくてはならないのよ。,14,,,,,,,,,,,,
と,15,,,,,,,,,,,,
言ってますがなかなか、家の中ぐちゃぐちゃ〜,16,,,,,,,,,,,,
待ってました！,17,,,,,,,,,,,,
と,18,,,,,,,,,,,,
ぐちゃぐちゃ大会に参加させられます。,19,,,,,,,,,,,,
ぐちゃぐちゃ過ぎてお見せできマセーーーん,20,,,,,,,,,,,,
笑笑。,21,,,,,,,,,,,,
今日は変な時間から,22,,,,,,,,,,,,
メンテナンスです。,23,,,,,,,,,,,,
昼間に行こうとしたのですがなかなか時間取れず。,24,,,,,,,,,,,,
行ってきまーす,25,,,,,,,,,,,,
体力凄い、ついてけるのか？,26,,,,,,,,,,,,
日々ビクビクしてます。,27,,,,,,,,,,,,
笑笑,28,,,,,,,,,,,,
どした？！,29,,,,,,,,,,,,
これがいいとさ笑笑,30,,,,,,,,,,,,
たか君からもらいました,31,,,,,,,,,,,,
有難いです。,32,,,,,,,,,,,,
召し上がれ,33,,,,,,,,,,,,
きな粉せんべい,34,,,,,,,,,,,,
休憩。,35,,,,,,,,,,,,
外は雨ですし,36,,,,,,,,,,,,
お勉強。,37,,,,,,,,,,,,
頑張りましょう,38,,,,,,,,,,,,
雨降ってきましたー,39,,,,,,,,,,,,
帰ろうかー,40,,,,,,,,,,,,
と話してます,41,,,,,,,,,,,,
そば,42,,,,,,,,,,,,
早く着きすぎた,43,,,,,,,,,,,,
今日はそういう,44,,,,,,,,,,,,
ウッカリな日のようです。,45,,,,,,,,,,,,
あはは,46,,,,,,,,,,,,
昼食へデートっす,1,,,,,,,,,,,,
雰囲気戻りました,2,,,,,,,,,,,,
なんか少しネガティヴな雰囲気だったので,3,,,,,,,,,,,,
気になり,4,,,,,,,,,,,,
散歩にて解消。,5,,,,,,,,,,,,
ほっ,6,,,,,,,,,,,,
ご褒美はガリガリ君かな,7,,,,,,,,,,,,
なんとなく気分悪そうだったので,8,,,,,,,,,,,,
散歩誘いました,9,,,,,,,,,,,,
笑顔見れてよかったです。,10,,,,,,,,,,,,
私は,11,,,,,,,,,,,,
散歩ってコミニケーションとるのに一番好きな方法です笑笑,12,,,,,,,,,,,,
最近お寝坊な勸玄。,13,,,,,,,,,,,,
歩いてすこし鍛え疲れさせようかなと,14,,,,,,,,,,,,
え？なんで？！,15,,,,,,,,,,,,
チャイナドレスなの？！？！,16,,,,,,,,,,,,
嬉しい。,17,,,,,,,,,,,,
よろしくお願いします。,18,,,,,,,,,,,,
あたま合わせです。,19,,,,,,,,,,,,
They don’t make any assumption,20,,,,,,,,,,,,
“This is it for now.”,21,,,,,,,,,,,,
I haven’t been able to eat properly these days.,22,,,,,,,,,,,,
but I still want to share it with you all too… ,23,,,,,,,,,,,,
“Mammy,24,,,,,,,,,,,,
This is a photo that showcases mother’s happiness.,25,,,,,,,,,,,,
Started with a fever of 39.4°,26,,,,,,,,,,,,
Son → off for his favorite park with his daddy,27,,,,,,,,,,,,
Daughter → out,28,,,,,,,,,,,,
She read me a book “A wolf with seven lambs”,29,,,,,,,,,,,,
It doesn’t get any better,30,,,,,,,,,,,,
but it doesn’t help at all.,31,,,,,,,,,,,,
The pain relief doesn’t work for my jaw at all.,32,,,,,,,,,,,,
There’s not much I can do to ease this pain at this moment. ,33,,,,,,,,,,,,
I saw something that I was terrified of…,34,,,,,,,,,,,,
my own body…,35,,,,,,,,,,,,
It was quite shocking,36,,,,,,,,,,,,
38℃,37,40℃… it keeps going up.,,,,,,,,,,,
This time it doesn’t last very long,38,,,,,,,,,,,,
Now let’s give the blood vessels some break because they may need to come back to work as the last bastion.,39,,,,,,,,,,,,
I’m normally trying to stay away from gossip,40,,,,,,,,,,,,
I am surprised because it’s all wrong,41,,,,,,,,,,,,
But I wonder why they don’t mind publishing all these misinformation.,42,,,,,,,,,,,,
I’ve got a present from my older sister today. ,43,,,,,,,,,,,,
Since I haven’t been able to eat,44,,,,,,,,,,,,
my older sister’s friend made me a miso soup and veggie pastes,45,,,,,,,,,,,,
I can’t really imagine having siblings of an opposite gender. ,46,,,,,,,,,,,,
I was having a fever of over 39℃ every day,1,,,,,,,,,,,,
but since a day before yesterday,2,,,,,,,,,,,,
and today it was stable around 37℃+.,3,,,,,,,,,,,,
And at the last check,4,,,,,,,,,,,,
It’s been already 5 days since my last blog.,5,,,,,,,,,,,,
As per my doctor’s advice,6,,,,,,,,,,,,
The bright side doesn’t go on forever.,7,,,,,,,,,,,,
I’ve been sentimental lately.,8,,,,,,,,,,,,
“Stay with me please.”,9,,,,,,,,,,,,
I can’t thank enough for the warmth of my family.,10,,,,,,,,,,,,
I couldn’t get up in the morning,11,,,,,,,,,,,,
I’ve been struggling with breathlessness and fatigue these days. ,12,,,,,,,,,,,,
I’m trying to control through trial and error.,13,,,,,,,,,,,,
So,14,,,,,,,,,,,,
“Never get defeated even if your cancer blooms when flowers awake in spring.”,15,,,,,,,,,,,,
It’s normal that we have spring and winter.,16,,,,,,,,,,,,
I try to tell myself,17,,,,,,,,,,,,
I’ve been getting support from everyone,18,everyday.  Thanks for the massage with their kind hands on my head,shoulder and back,I feel reassured.  ,,,,,,,,,
It’s a new school year today,19,,,,,,,,,,,,
I’ve got another goal,20,,,,,,,,,,,,
which is to attend my daughter’s graduation in Kimono.,21,,,,,,,,,,,,
Today is an anniversary of Dr. Tsukada’s death.,22,,,,,,,,,,,,
“You make me feel that your disease will be cured someday.”,23,,,,,,,,,,,,
“We sometimes witness things that we cannot medically explain.,24,,,,,,,,,,,,
Patients show us those miracles.”,25,,,,,,,,,,,,
“Yes,26,,,,,,,,,,,,
“You’ll be all right!,27,,,,,,,,,,,,
Let’s stay strong to see your kids grow up!”,28,,,,,,,,,,,,
When I first heard of his death,29,,,,,,,,,,,,
Why is he gone…while I am still alive?,30,,,,,,,,,,,,
He used to say,31,,,,,,,,,,,,
I’ve been telling myself that a pinch could be a chance and a chance could be a pinch.  ,32,,,,,,,,,,,,
I always picture Dr. Tsukada’s face.,33,,,,,,,,,,,,
Today,34,,,,,,,,,,,,
ウシシシ    ,35,,,,,,,,,,,,
のんちゃんかあちゃんが来た‼️,36,,,,,,,,,,,,
遅いよ,37,,,,,,,,,,,,
ごめんごめん 駅のそば炎上してて バスで来たわよ,38,,,,,,,,,,,,
新しい色のハット発売されたよ^ ^ ,39,,,,,,,,,,,,
日本製で型綺麗なんだな^ ^,40,,,,,,,,,,,,
今回のclassicシリーズも長く使えるデザインになってます。,41,,,,,,,,,,,,
uvカット加工もされてるから便利だよ,42,,,,,,,,,,,,
ホワイトも発売中,43,,,,,,,,,,,,
在庫に限りがあるのでおはやめに,44,,,,,,,,,,,,
ホワイトはスペシャルカラーのため ,45,,,,,,,,,,,,
あんまり作れないみたい。,46,,,,,,,,,,,,
SUMMER 福袋が発売されました,1,,,,,,,,,,,,
いつも のんちゃんブランド,2,,,,,,,,,,,,
selva secreta 愛用ありがとうございます,3,,,,,,,,,,,,
ペコリ,4,,,,,,,,,,,,
selva secreta 3周年を記念して,5,,,,,,,,,,,,
夏の福袋が発売されました^ ^,6,,,,,,,,,,,,
いつもありがとうございます,7,,,,,,,,,,,,
夏の福袋なのでコートは入ってなくて,8,,,,,,,,,,,,
ワンピースが多めに入ってます,9,,,,,,,,,,,,
のんちゃんのブランドではほとんどセール,10,,,,,,,,,,,,
とかやらなく 数に限りがあるのでお早めに^ ^,11,,,,,,,,,,,,
のんちゃんブランドはここから^ ^,12,,,,,,,,,,,,
のんちゃんのBLOG,13,,,,,,,,,,,,
  ここから,14,,,,,,,,,,,,
妹タマラのブログ^^,15,,,,,,,,,,,,
ここはお家の近くのホテル,16,,,,,,,,,,,,
ここのラウンジよくくるんだな、昔から のんちゃんとお気に入り,17,,,,,,,,,,,,
新しい色のハット発売されたよ^ ^ ,18,,,,,,,,,,,,
日本製で型綺麗なんだな^ ^,19,,,,,,,,,,,,
今回のclassicシリーズも長く使えるデザインになってます。,20,,,,,,,,,,,,
uvカット加工もされてるから便利だよ,21,,,,,,,,,,,,
ホワイトも発売中,22,,,,,,,,,,,,
在庫に限りがあるのでおはやめに,23,,,,,,,,,,,,
ホワイトはスペシャルカラーのため ,24,,,,,,,,,,,,
あんまり作れないみたい。,25,,,,,,,,,,,,
SUMMER 福袋が発売されました,26,,,,,,,,,,,,
いつも のんちゃんブランド,27,,,,,,,,,,,,
selva secreta 愛用ありがとうございます,28,,,,,,,,,,,,
ペコリ,29,,,,,,,,,,,,
selva secreta 3周年を記念して,30,,,,,,,,,,,,
夏の福袋が発売されました^ ^,31,,,,,,,,,,,,
いつもありがとうございます,32,,,,,,,,,,,,
夏の福袋なのでコートは入ってなくて,33,,,,,,,,,,,,
ワンピースが多めに入ってます,34,,,,,,,,,,,,
のんちゃんのブランドではほとんどセール,35,,,,,,,,,,,,
とかやらなく 数に限りがあるのでお早めに^ ^,36,,,,,,,,,,,,
のんちゃんブランドはここから^ ^,37,,,,,,,,,,,,
のんちゃんのBLOG,38,,,,,,,,,,,,
  ここから,39,,,,,,,,,,,,
妹タマラのブログ^^,40,,,,,,,,,,,,
のんちゃんのお誕生日シールと,41,,,,,,,,,,,,
カゲトラの誕生日シールゲットしたよん,42,,,,,,,,,,,,
素敵な物が欲しいけど あんまり売ってないから,43,,,,,,,,,,,,
ディズニーでシールもらう,44,,,,,,,,,,,,
新しい色のハット発売されたよ^ ^ ,45,,,,,,,,,,,,
日本製で型綺麗なんだな^ ^,46,,,,,,,,,,,,
今回のclassicシリーズも長く使えるデザインになってます。,1,,,,,,,,,,,,
uvカット加工もされてるから便利だよ,2,,,,,,,,,,,,
ホワイトも発売中,3,,,,,,,,,,,,
在庫に限りがあるのでおはやめに,4,,,,,,,,,,,,
ホワイトはスペシャルカラーのため ,5,,,,,,,,,,,,
あんまり作れないみたい。,6,,,,,,,,,,,,
SUMMER 福袋が発売されました,7,,,,,,,,,,,,
いつも のんちゃんブランド,8,,,,,,,,,,,,
selva secreta 愛用ありがとうございます,9,,,,,,,,,,,,
ペコリ,10,,,,,,,,,,,,
selva secreta 3周年を記念して,11,,,,,,,,,,,,
夏の福袋が発売されました^ ^,12,,,,,,,,,,,,
